battery,cycle,discharge_capacity,avg_voltage,end_voltage,discharge_time,cv_charge_time,Re,Rct,SOH,RUL
B0006,1,2.035338,3.556946,2.475768,3690.234000,6953.343000,0.061234,0.078542,1.000000,108
B0006,2,2.025140,3.561476,2.351526,3672.344000,7055.797000,0.061234,0.078542,0.994990,107
B0006,3,2.013326,3.566752,2.440480,3651.641000,7027.938000,0.061234,0.078542,0.989185,106
B0006,4,2.013285,3.568795,2.479156,3631.563000,6963.812000,0.061234,0.078542,0.989165,105
B0006,5,2.000528,3.563971,2.280188,3629.172000,7100.078000,0.061234,0.078542,0.982898,104
B0006,6,2.013899,3.573551,2.439284,3652.281000,7395.672000,0.061234,0.078542,0.989467,103
B0006,7,2.013101,3.571139,2.281207,3650.828000,7427.344000,0.061234,0.078542,0.989075,102
B0006,8,1.968790,3.568151,2.366411,3572.453000,6765.640000,0.061234,0.078542,0.967304,101
B0006,9,1.968166,3.569283,2.436020,3550.594000,6803.047000,0.061234,0.078542,0.966997,100
B0006,10,1.957231,3.563389,2.186438,3551.250000,6846.250000,0.061234,0.078542,0.961625,99
B0006,11,1.945599,3.566659,2.340602,3530.250000,6817.750000,0.061234,0.078542,0.955910,98
B0006,12,1.934751,3.568704,2.426302,3491.016000,6907.703000,0.061234,0.078542,0.950580,97
B0006,13,1.923280,3.569207,2.475370,3470.281000,6733.219000,0.061234,0.078542,0.944944,96
B0006,14,1.911890,3.565927,2.342365,3470.000000,7564.688000,0.061234,0.078542,0.939348,95
B0006,15,1.901067,3.561242,2.188400,3450.297000,6748.781000,0.061234,0.078542,0.934030,94
B0006,16,1.889199,3.557882,2.120698,3429.407000,6839.797000,0.061234,0.078542,0.928199,93
B0006,17,1.878278,3.562824,2.369981,3409.484000,6806.813000,0.061234,0.078542,0.922834,92
B0006,18,1.867570,3.559195,2.247992,3390.422000,6903.157000,0.061234,0.078542,0.917572,91
B0006,19,1.867589,3.558091,2.884446,3390.281000,7097.204000,0.061234,0.078542,0.917582,90
B0006,20,1.979627,3.565899,2.203356,3591.734000,7244.593000,0.061234,0.078542,0.972628,89
B0006,21,1.957550,3.570814,2.358878,3552.297000,6912.109000,0.060630,0.078024,0.961781,88
B0006,22,1.945815,3.566682,2.218673,3531.578000,6964.547000,0.060860,0.078402,0.956016,87
B0006,23,1.924246,3.566839,2.339723,3492.907000,6819.656000,0.060065,0.078071,0.945419,86
B0006,24,1.945981,3.571052,2.399751,3511.594000,7595.890000,0.059131,0.077956,0.956097,85
B0006,25,1.901408,3.566631,2.491411,3431.937000,6951.218000,0.060597,0.079382,0.934198,84
B0006,26,1.878674,3.552739,2.766927,3431.125000,6973.438000,0.060436,0.079494,0.923028,83
B0006,27,1.868306,3.556096,2.835613,3412.406000,7534.828000,0.059882,0.078712,0.917934,82
