timestamp_s,voltage,current_mA,used_mAh,state
9.0,4.0840,0.00,0.0000,IDLE
10.0,4.0880,0.10,0.0000,IDLE
11.0,4.0840,0.00,0.0000,IDLE
12.0,4.0880,0.10,0.0000,IDLE
13.0,4.0840,0.10,0.0000,IDLE
14.0,4.0840,0.00,0.0000,IDLE
15.0,4.0840,0.00,0.0000,IDLE
16.0,4.0880,0.00,0.0000,IDLE
17.0,4.0880,0.00,0.0000,IDLE
18.0,4.0880,0.10,0.0000,IDLE
19.0,4.0840,0.00,0.0000,IDLE
20.0,4.0840,0.00,0.0000,IDLE
21.0,4.0880,0.00,0.0000,IDLE
22.0,4.0880,0.00,0.0000,IDLE
23.0,4.0880,0.00,0.0000,IDLE
24.0,4.0880,0.00,0.0000,IDLE
25.0,4.0880,0.00,0.0000,IDLE
26.0,4.0920,0.00,0.0000,IDLE
27.0,4.0880,0.00,0.0000,IDLE
28.0,4.0920,0.00,0.0000,IDLE
29.0,4.0880,0.00,0.0000,IDLE
30.0,4.0920,0.00,0.0000,IDLE
31.0,4.0920,0.00,0.0000,IDLE
32.0,4.0880,0.00,0.0000,IDLE
33.0,4.0920,0.00,0.0000,IDLE
34.0,4.0880,0.00,0.0000,IDLE
35.0,4.0920,0.00,0.0000,IDLE
36.0,4.0880,0.00,0.0000,IDLE
37.0,4.0920,0.00,0.0000,IDLE
38.0,4.0880,0.00,0.0000,IDLE
39.0,4.0880,0.00,0.0000,IDLE
40.0,4.0880,0.00,0.0000,IDLE
41.0,4.0920,0.00,0.0000,IDLE
42.0,4.0920,0.00,0.0000,IDLE
43.0,4.0920,0.30,0.0000,IDLE
44.0,4.0920,0.00,0.0000,IDLE
45.0,4.0920,0.00,0.0000,IDLE
46.0,4.0920,0.00,0.0000,IDLE
47.0,4.0920,0.00,0.0000,IDLE
48.0,4.0920,0.10,0.0000,IDLE
49.0,4.0920,0.00,0.0000,IDLE
50.0,4.0920,0.00,0.0000,IDLE
51.0,4.0960,0.00,0.0000,IDLE
52.0,4.0960,0.00,0.0000,IDLE
53.0,4.0920,0.00,0.0000,IDLE
54.0,4.0920,0.00,0.0000,IDLE
55.0,4.0920,0.00,0.0000,IDLE
56.0,4.0920,0.20,0.0000,IDLE
57.0,4.0920,0.00,0.0000,IDLE
58.0,4.0920,0.00,0.0000,IDLE
59.0,4.0920,0.00,0.0000,IDLE
60.0,4.0960,0.00,0.0000,IDLE
61.0,4.0920,0.00,0.0000,IDLE
62.0,4.1000,0.00,0.0000,IDLE
63.0,4.1000,0.00,0.0000,IDLE
64.0,4.1000,0.00,0.0000,IDLE
65.0,4.1040,0.00,0.0000,IDLE
66.0,4.0960,0.00,0.0000,IDLE
67.0,4.1000,0.00,0.0000,IDLE
68.0,4.1000,0.00,0.0000,IDLE
69.0,4.1000,0.00,0.0000,IDLE
70.0,4.0960,0.10,0.0000,IDLE
71.0,4.1000,0.00,0.0000,IDLE
72.0,4.1000,0.00,0.0000,IDLE
73.0,4.1000,0.00,0.0000,IDLE
74.0,4.1000,0.00,0.0000,IDLE
75.0,4.1000,0.00,0.0000,IDLE
76.0,4.0960,0.00,0.0000,IDLE
77.0,4.1000,0.00,0.0000,IDLE
78.0,4.0960,0.00,0.0000,IDLE
79.0,4.1000,0.00,0.0000,IDLE
80.0,4.1000,0.10,0.0000,IDLE
81.0,4.1000,0.00,0.0000,IDLE
